model_display_name,model_key,pretraining,pretext_category,patch_size,fold,n_train,n_val,n_test,n_test_pos,n_test_neg,auc,pr_auc,accuracy_05,precision_05,recall_05,f1_05,best_threshold_f1,accuracy_best_f1,precision_best_f1,recall_best_f1,f1_best_f1,tn,fp,fn,tp,best_epoch,best_val_auc,best_val_loss
Scratch,scratch_resnet18,none,None,32,0,224,56,64,32,32,0.6240234375,0.6353097880009664,0.5625,0.5625,0.5625,0.5625,0.2190321981906891,0.5625,0.54,0.84375,0.6585365853658537,9,23,5,27,2,0.8533163265306123,0.9725952063288008
Scratch,scratch_resnet18,none,None,32,1,212,54,78,39,39,0.7692307692307693,0.7888878390307303,0.6538461538461539,0.875,0.358974358974359,0.509090909090909,0.9108681082725524,0.6025641025641025,0.9,0.2307692307692307,0.3673469387755102,38,1,30,9,54,0.9478737997256516,0.4176981824415701
Scratch,scratch_resnet18,none,None,32,2,190,48,106,53,53,0.7543609825560698,0.677231444389305,0.6792452830188679,0.620253164556962,0.9245283018867924,0.7424242424242424,0.0155112259089946,0.5660377358490566,0.5360824742268041,0.981132075471698,0.6933333333333332,8,45,1,52,34,0.8802083333333334,0.6448892951011658
Scratch,scratch_resnet18,none,None,32,3,252,64,28,14,14,0.8469387755102041,0.8400013501904259,0.7857142857142857,0.7222222222222222,0.9285714285714286,0.8125000000000001,0.4448662400245666,0.7857142857142857,0.7222222222222222,0.9285714285714286,0.8125000000000001,9,5,1,13,16,0.9638671875,0.2485747411847114
Scratch,scratch_resnet18,none,None,32,4,220,56,68,34,34,0.8996539792387543,0.9119571141701912,0.7647058823529411,1.0,0.5294117647058824,0.6923076923076924,0.1522659361362457,0.7794117647058824,0.8518518518518519,0.6764705882352942,0.7540983606557378,30,4,11,23,12,0.9209183673469388,0.4390976812158312
Masked reconstruction,masked_recon_resnet18,masked_recon,Reconstruction-based,32,0,224,56,64,32,32,0.8955078125,0.8778462825273425,0.6875,0.62,0.96875,0.7560975609756097,0.2931023836135864,0.609375,0.5614035087719298,1.0,0.7191011235955056,7,25,0,32,10,0.8737244897959183,0.4737959631851741
Masked reconstruction,masked_recon_resnet18,masked_recon,Reconstruction-based,32,1,212,54,78,39,39,0.7863247863247863,0.7951653229816253,0.6538461538461539,0.8333333333333334,0.3846153846153846,0.5263157894736842,0.6151401400566101,0.5897435897435898,0.8181818181818182,0.2307692307692307,0.36,37,2,30,9,8,0.9135802469135802,0.4456949631373088
Masked reconstruction,masked_recon_resnet18,masked_recon,Reconstruction-based,32,2,190,48,106,53,53,0.7992168031327874,0.7105847863340039,0.6320754716981132,0.5760869565217391,1.0,0.7310344827586206,0.5576024651527405,0.7075471698113207,0.6486486486486487,0.9056603773584906,0.7559055118110237,27,26,5,48,4,0.8888888888888888,0.5666665832201639
Masked reconstruction,masked_recon_resnet18,masked_recon,Reconstruction-based,32,3,252,64,28,14,14,0.8112244897959183,0.8500647694975426,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.5191045999526978,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.7857142857142857,11,3,3,11,31,0.9423828125,0.3073486685752868
Masked reconstruction,masked_recon_resnet18,masked_recon,Reconstruction-based,32,4,220,56,68,34,34,0.8122837370242214,0.8355765166214759,0.7794117647058824,0.8518518518518519,0.6764705882352942,0.7540983606557378,0.2761878371238708,0.6911764705882353,0.6666666666666666,0.7647058823529411,0.7123287671232877,21,13,8,26,17,0.909438775510204,0.3914901827062879
Contrastive learning,contrastive_resnet18,contrastive,Contrastive,32,0,224,56,64,32,32,0.8720703125,0.8196828657020055,0.8125,0.7941176470588235,0.84375,0.8181818181818182,0.3576771020889282,0.78125,0.725,0.90625,0.8055555555555555,21,11,3,29,29,0.8635204081632653,0.5333932680743081
Contrastive learning,contrastive_resnet18,contrastive,Contrastive,32,1,212,54,78,39,39,0.7041420118343196,0.7145696082317902,0.7051282051282052,0.8076923076923077,0.5384615384615384,0.6461538461538461,0.5538572669029236,0.6923076923076923,0.8571428571428571,0.4615384615384615,0.6,36,3,21,18,4,0.9561042524005487,0.4490844232064706
Contrastive learning,contrastive_resnet18,contrastive,Contrastive,32,2,190,48,106,53,53,0.9106443574225704,0.8835348538613749,0.8207547169811321,0.75,0.9622641509433962,0.8429752066115702,0.4786785542964935,0.7735849056603774,0.6883116883116883,1.0,0.8153846153846155,29,24,0,53,6,0.9201388888888888,0.525690625111262
Contrastive learning,contrastive_resnet18,contrastive,Contrastive,32,3,252,64,28,14,14,0.8061224489795918,0.8481009070294785,0.7142857142857143,0.6666666666666666,0.8571428571428571,0.75,0.2262179851531982,0.6785714285714286,0.6190476190476191,0.9285714285714286,0.742857142857143,6,8,1,13,35,0.96875,0.2468778938055038
Contrastive learning,contrastive_resnet18,contrastive,Contrastive,32,4,220,56,68,34,34,0.8970588235294118,0.8898419231090045,0.6911764705882353,0.9333333333333332,0.4117647058823529,0.5714285714285713,0.5612404942512512,0.6176470588235294,0.9,0.2647058823529412,0.409090909090909,33,1,25,9,17,0.9247448979591836,0.36157802598817
Jigsaw,jigsaw_resnet18,jigsaw,Spatial-ordering,32,0,224,56,64,32,32,0.84375,0.7880717404930623,0.84375,0.7894736842105263,0.9375,0.8571428571428572,0.0860641971230506,0.625,0.5769230769230769,0.9375,0.7142857142857143,10,22,2,30,29,0.9017857142857144,0.4799938329628536
Jigsaw,jigsaw_resnet18,jigsaw,Spatial-ordering,32,1,212,54,78,39,39,0.6903353057199211,0.6964270100623414,0.6282051282051282,0.7777777777777778,0.358974358974359,0.4912280701754385,0.840440571308136,0.5897435897435898,0.7692307692307693,0.2564102564102564,0.3846153846153846,36,3,29,10,55,0.9368998628257889,0.3774056765768263
Jigsaw,jigsaw_resnet18,jigsaw,Spatial-ordering,32,2,190,48,106,53,53,0.6514773940904236,0.6038838819413291,0.6132075471698113,0.5882352941176471,0.7547169811320755,0.6611570247933886,0.0592084787786006,0.5188679245283019,0.5098039215686274,0.981132075471698,0.6709677419354838,3,50,1,52,20,0.8819444444444444,0.5777051647504171
Jigsaw,jigsaw_resnet18,jigsaw,Spatial-ordering,32,3,252,64,28,14,14,0.8214285714285714,0.8265763997906854,0.75,0.7058823529411765,0.8571428571428571,0.7741935483870968,0.5957184433937073,0.75,0.7058823529411765,0.8571428571428571,0.7741935483870968,9,5,2,12,21,0.9375,0.3757328167557716
Jigsaw,jigsaw_resnet18,jigsaw,Spatial-ordering,32,4,220,56,68,34,34,0.6055363321799307,0.6604904825451211,0.5147058823529411,0.5217391304347826,0.3529411764705882,0.4210526315789474,0.1951843500137329,0.5441176470588235,0.5306122448979592,0.7647058823529411,0.6265060240963856,11,23,8,26,15,0.8520408163265306,0.4838196294648306
